"product_id","title","description","category","price"
"P001","Sony WH-1000XM5 Wireless Headphones","Industry-leading noise cancellation headphones with 30-hour battery life and multipoint connection. Crystal clear hands-free calling and Alexa built-in.","Electronics","349.99"
"P002","Apple AirPods Pro 2nd Generation","Active noise cancellation earbuds with adaptive transparency and personalized spatial audio. H2 chip for smarter and lower distortion.","Electronics","249.00"
"P003","Samsung Galaxy S24 Ultra","6.8-inch Dynamic AMOLED display smartphone with 200MP camera and built-in S Pen. Titanium frame and 5000mAh battery.","Electronics","1199.99"
"P004","Dell XPS 15 Laptop","15.6-inch OLED touch display laptop powered by Intel Core i9. 32GB RAM and 1TB SSD for professional performance.","Electronics","1899.00"
"P005","Logitech MX Master 3S Mouse","Advanced wireless mouse with ultra-fast MagSpeed scrolling and 8K DPI optical sensor. Works on any surface including glass.","Electronics","99.99"
"P006","Apple MacBook Air M3","Thin and light laptop with M3 chip for up to 18-hour battery life. Stunning Liquid Retina display and MagSafe charging.","Electronics","1299.00"
"P007","LG 27-inch 4K Monitor","27-inch UHD IPS monitor with USB-C connectivity and HDR600. sRGB 99% color accuracy perfect for creative professionals.","Electronics","449.99"
"P008","Bose QuietComfort 45 Headphones","Premium wireless headphones with proprietary noise cancellation and 24-hour battery life. Foldable design for portability.","Electronics","279.00"
"P009","Samsung 65-inch QLED 4K TV","65-inch Neo QLED television with Quantum Matrix Technology and 144Hz refresh rate. Neural Quantum Processor for sharp upscaling.","Electronics","1499.99"
"P010","Nike Air Max 270","Mens lifestyle shoe with Max Air unit in the heel for all-day comfort. Engineered mesh upper and rubber outsole.","Footwear","150.00"
"P011","Adidas Ultraboost 22","Mens running shoe with Continental rubber outsole and Boost midsole for energy return. Primeknit upper adapts to foot shape.","Footwear","190.00"
"P012","New Balance 990v5","Classic grey mens sneaker made in USA. Premium pigskin suede and mesh upper with ENCAP midsole technology.","Footwear","185.00"
"P013","Nike Air Force 1 07","Iconic streetwear sneaker with perforated leather upper and pivot circle rubber outsole. Timeless classic for everyday wear.","Footwear","110.00"
"P014","Adidas Stan Smith","Low-profile leather sneakers with serrated 3-Stripes. Clean minimalist design perfect for casual and semi-casual outfits.","Footwear","95.00"
"P015","Timberland 6-Inch Premium Waterproof Boot","Waterproof full-grain leather boot with rustproof hardware and lug outsole. Classic icon since 1973 for outdoor adventures.","Footwear","198.00"
"P016","Converse Chuck Taylor All Star","Canvas high-top sneaker with iconic star ankle patch and rubber toe cap. Available in dozens of colors for personal expression.","Footwear","65.00"
